"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Wed Dec 06 05:31:18 +0000 2023","1732271475061911879","Value your brain? Don’t catch #COVID19","6","43","139","308","en","173672963","1732271475061911879","drkerrynphelps","https://twitter.com/drkerrynphelps/status/1732271475061911879","","Australia"
"Sun Dec 03 18:15:39 +0000 2023","1731376667862438247","The majority of people have decided that they would rather shorten their lives than adjust them  and the most tragic part is that most of them don’t even know it.   #Covid19 #NotMild  #LongCovid #WearAMask","11","84","285","1162","en","1375470391","1731376667862438247","keetmuise","https://twitter.com/keetmuise/status/1731376667862438247","",""
"Sun Dec 03 10:57:39 +0000 2023","1731266442283331923","This was the same for Pfizer and Moderna #Covid-19 "vaccines" in the United States - how is this legal?  Was it the same in Australia? #COVID19 #Vaccines https://t.co/WhvgIVvla4","34","48","194","390","en","1376784883641581574","1731266442283331923","DrWoofAus","https://twitter.com/DrWoofAus/status/1731266442283331923","https://pbs.twimg.com/ext_tw_video_thumb/1731266007623483392/pu/img/vX4fRXAfR9ExIKnT.jpg","Melbourne, Victoria"
"Mon Dec 04 13:25:22 +0000 2023","1731666004030189925","Dr @mvankerkhove explains the importance of re-vaccination against #COVID19 to prevent severe disease and death  especially those of you who are in the highest risk group.  More information: https://t.co/J24IdagZVY https://t.co/5m73um2tQG","76","621","155","327","en","14499829","1731666004030189925","WHO","https://twitter.com/WHO/status/1731666004030189925","https://pbs.twimg.com/ext_tw_video_thumb/1731665964381425664/pu/img/pUKloCpmzjOgXMaQ.jpg","Geneva, Switzerland"
"Fri Dec 01 19:19:31 +0000 2023","1730667963915653332","🚨5 741 #COVID19 patients hospitalized  🚨+19.3% than last week  🚨The worst figure of last 9 months https://t.co/CTmEQlSfut","10","2","63","166","en","454791337","1730667963915653332","Antonio_Caramia","https://twitter.com/Antonio_Caramia/status/1730667963915653332","https://pbs.twimg.com/media/GASRVrFWEAE5WK3.jpg",""
"Wed Dec 06 04:02:08 +0000 2023","1732249034872729970","The Orwellian mindset of the #Australian government in its management of the #COVID19 pandemic is terrifying. The construction of models to justify stupid  dangerous and damaging actions  while simultaneously ignoring the actual data - not modelling - of the Australian Bureau of…","14","41","194","629","en","162904801","1732249034872729970","JulianFidge","https://twitter.com/JulianFidge/status/1732249034872729970","","Wangaratta, Victoria Australia"
"Thu Nov 30 17:10:05 +0000 2023","1730273002011414797","Nobel Prize winner Luc Montagnier  confirms that #HIV was added to the #Covid19 #vaccines.   “Someone added some sequencies including HIV.” https://t.co/dkxCrIjLZ4","8","27","139","182","en","1518644583109910528","1730273002011414797","LetsGoBrando45","https://twitter.com/LetsGoBrando45/status/1730273002011414797","https://pbs.twimg.com/amplify_video_thumb/1730272685022687232/img/Z3iozziZPWqcLWwM.jpg","Saskatoon, Saskatchewan"
"Tue Dec 05 01:58:54 +0000 2023","1731855634604098013","I’m going to take part in a Covid GI Study where they’ll be examining the characteristics of viruses  specifically persistent SARS-CoV-2 infections in stool samples.  I just got my kit in the mail. I’m interested in what it shows since it’s been 3.5 years since I had #COVID19.","0","16","24","211","en","1678567922157928448","1731855634604098013","idea_alchemist","https://twitter.com/idea_alchemist/status/1731855634604098013","","Tristate Area "
"Sat Dec 02 19:31:21 +0000 2023","1731033328365748722","Dear MAGA  Trump is in league with China!! And Orange Jesus had 4 years to do something about fentanyl. All he did was let it spread. Ditto #Covid19  school shootings and hate crimes. Then he tried to overthrow the U.S. government (but Jack Smith is on it) https://t.co/xAOthtfYRa","4","22","85","211","en","979212105533440000","1731033328365748722","BigBlueWaveUSA","https://twitter.com/BigBlueWaveUSA/status/1731033328365748722","https://pbs.twimg.com/ext_tw_video_thumb/1731030950442635264/pu/img/h9qrrkR6kuLOBZmX.jpg",""
"Sat Dec 02 13:15:01 +0000 2023","1730938622038196408","The CIA calls people conspiracy theorists to deflect from their illegal actions. #WeThePeople believe they were involved with the murder #Kennedy &amp; creating #COVID19.","0","37","75","371","en","3376321847","1730938622038196408","iluminatibot","https://twitter.com/iluminatibot/status/1730938622038196408","",""
